epoch,train_loss,valid_loss,train_ppl,valid_ppl,valid_bleu,epoch_minutes,tokens_per_sec,steps_total,lr_last
1,8.468891496114933,7.75717705488205,4764.23137232606,2338.294402777541,0.06821502774320273,39.70729950269063,4354.369817618132,6441,2.7531169713719944e-07
1,8.468891496114933,7.75717705488205,4764.23137232606,2338.294402777541,0.01955083403645603,20.37377230723699,8486.413986308604,6441,2.7531169713719944e-07
1,8.468690550895493,7.75681534409523,4763.274118988447,2337.448769415871,0.01954032485566789,5.715973961353302,30248.609772244472,6441,2.7531169713719944e-07
2,7.654605353032186,7.351666048169136,2110.3421147781723,1558.7913871932965,0.07831521103559466,5.9238255778948465,29187.264833721136,12882,1.946823233295698e-07
3,7.369691270124355,7.145225912332535,1587.1437087182258,1268.0377582234078,0.08723490752720475,5.864253238836924,29483.76530757166,19323,1.5895950782942432e-07
1,8.468690550895493,7.75681534409523,4763.274118988447,2337.448769415871,0.01954032485566789,5.532622106870016,31251.052771192557,6441,2.7531169713719944e-07
2,7.654605353032186,7.351666048169136,2110.3421147781723,1558.7913871932965,0.07831521103559466,5.705178495248159,30305.846887722713,12882,1.946823233295698e-07
3,7.369691270124355,7.145225912332535,1587.1437087182258,1268.0377582234078,0.08723490752720475,5.750382769107818,30067.609933399737,19323,1.5895950782942432e-07
4,7.2140714617697945,7.025361523032188,1358.4117450661226,1124.8011270229308,0.18623368704328233,5.688902401924134,30392.552722491906,25764,1.3766386245420478e-07
5,7.121661751597143,6.951001450419426,1238.506815072733,1044.1949141767388,0.21579063572379426,5.683554458618164,30421.150588269324,32205,1.2313077969743783e-07
6,7.061957884715814,6.898957520723343,1166.7272484636906,991.2408287736873,0.26618894511272223,5.696487045288086,30352.08626117208,38646,1.1240280011617408e-07
7,7.019932784125072,6.858158588409424,1118.7114200523856,951.613141668302,0.25851036643874287,5.7238893588384,30206.779947553354,45087,1.0406496395450819e-07
1,5.605134151249115,4.2956666350364685,271.8183877647719,73.3811165665977,11.112914807065124,4.68644003868103,36893.732507735906,3221,0.0005628602362112752
2,4.07851878347992,3.532752960920334,59.05792745348028,34.21803899204493,18.350830328748348,4.709799281756083,36710.75038402635,6442,0.0005505806622581711
3,3.53159824390287,3.2151118963956833,34.178549644015504,24.906078655681274,21.569880403972032,4.747519648075103,36419.0732761238,9663,0.0004495588575378406
4,3.2685617241419758,3.0707376152276993,26.273523580364532,21.557798172108775,24.152412312133805,4.714988243579865,36670.34925953233,12884,0.00038933442704275974
5,3.109630796488158,2.9747699797153473,22.41276800034649,19.585117757077082,24.424694230268614,4.713534665107727,36681.65786872727,16105,0.0003482340005808757
6,2.997279050297635,2.915403962135315,20.03095947239624,18.456266529890353,25.98432789426708,4.738936976591746,36485.0316961054,19326,0.00031789434048781404
1,5.341992379271304,4.186063267290592,208.9285608193055,65.76338781510934,9.891989836787525,5.642145184675853,30644.419663236695,6441,0.0005506233942743989
2,4.091671957434418,3.516688749194145,59.83985780645779,33.67274475630182,16.998195720522297,5.553665375709533,31132.640242974132,12882,0.0003893646466591396
3,3.618532035166091,3.2340464144945145,37.282797795579015,25.382156178630737,20.45272966971852,5.682948168118795,30424.396096405497,19323,0.0003179190156588486
4,3.376623480794889,3.0810507647693157,29.271767378623046,21.781277374877742,22.669738710910693,5.532158068815867,31253.67422531375,25764,0.0002753277249084096
5,3.227724821629352,2.9875778406858444,25.2222066218833,19.837574486645767,23.195402532434226,5.606107413768768,30841.411548180804,32205,0.00024626155939487564
6,3.121079383328027,2.927916996181011,22.6708369648405,18.68866137133646,24.246652175356132,5.646547798315684,30620.526466315612,38646,0.00022480560023234816
1,5.341992379271304,4.186063267290592,208.9285608193055,65.76338781510934,9.891989836787525,5.3323341608047485,32424.87439161616,6441,0.0005506233942743989
2,4.091671957434418,3.516688749194145,59.83985780645779,33.67274475630182,16.998195720522297,5.403198413054148,31999.614500084583,12882,0.0003893646466591396
3,3.618532035166091,3.2340464144945145,37.282797795579015,25.382156178630737,20.45272966971852,5.356998908519745,32275.5836307773,19323,0.0003179190156588486
4,3.376623480794889,3.0810507647693157,29.271767378623046,21.781277374877742,22.669738710910693,5.451202634970347,31717.82035789162,25764,0.0002753277249084096
5,3.227724821629352,2.9875778406858444,25.2222066218833,19.837574486645767,23.195402532434226,5.646593129634857,30620.280534442358,32205,0.00024626155939487564
6,3.121079383328027,2.927916996181011,22.6708369648405,18.68866137133646,24.246652175356132,5.576463937759399,31005.358970064528,38646,0.00022480560023234816
7,3.0398684195379464,2.8960412740707397,20.902492694491208,18.102341129353825,25.23205191188257,5.4853869120279946,31520.158753394913,45087,0.00020812992790901637
8,2.974627364479483,2.860548809170723,19.582324820051145,17.47111261281053,25.34959762129245,5.643845415115356,30635.18812810471,51528,0.00019468799041479835
9,2.9203888523413926,2.8303986489772797,18.548498684748022,16.952217461842046,25.746001905709797,5.696136589845022,30353.95363433099,57969,0.00018355379554759295
10,2.8737350586611483,2.8266357481479645,17.70301667478233,16.888547815106502,26.033411861244076,5.6710240284601845,30488.3677219604,64410,0.00017413457032354024
11,2.834346523345618,2.798708550632,17.019274966853878,16.423423050047916,26.385277138147295,5.597912029425303,30886.56362303646,70851,0.00016603091546514356
12,2.79864168466942,2.7794311456382275,16.422324918771032,16.10985418017889,26.98379170961934,5.596817906697591,30892.6016417257,77292,0.00015896259267472894
13,2.766457283021204,2.77695607021451,15.902197115129164,16.07003037980269,26.843402727815292,5.677230322360993,30455.03817267938,83733,0.0001527263949321898
14,2.737054730623965,2.7722795456647873,15.441438859301801,15.995053939442528,27.444487836955414,5.612643909454346,30805.49362587937,90174,0.00014717089941492984
15,2.711126252372634,2.761050906032324,15.046211807562685,15.816455826282414,28.103504546219344,5.6306154251098635,30707.17017637489,96615,0.0001421806491904679
16,2.6869170963347764,2.75910409912467,14.686329517963216,15.78569419401999,27.55535439936953,5.735723435878754,30144.45655911882,103056,0.00013766586614430757
17,2.664692933062296,2.7556536346673965,14.363538301036977,15.731320079192278,27.539006368938907,5.6608082294464115,30543.38864858446,109497,0.00013355554568175818
18,2.640081055396426,2.7527782544493675,14.014339499541695,15.686151522141218,27.481326333995934,5.993493564923605,28847.993853240125,115938,0.00012979269328622432
19,2.6155251706725524,2.7529528588056564,13.674395884178942,15.688890631653658,27.151922777972445,6.34779018163681,27237.8672227814,122379,0.00012633095961823865
20,2.5936053639112693,2.7456631511449814,13.377917019400334,15.57493904691233,27.60231390214971,6.162966521581014,28054.714479434602,128820,0.00012313221343179985
